"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12988","TC_E2E_05 - remove an item from cart before checkout","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","5577","TC_NAV_14 - inventory page title is ""Products""","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","7553","TC_VIS_04 - login button is of type submit","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","10054","TC_CHK_02 - empty first name shows validation error","webkit","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6785","TC_VIS_13 - checkout step 1 form fields have data-test attributes","chromium","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","6322","TC_E2E_02 - sort products by price low to high in correct order","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","7142","TC_CHK_03 - empty last name shows validation error","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","0","TC_E2E_01 - login then see product catalog","firefox","2026-05-28","skipped","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","4571","TC_E2E_01 - login then see product catalog","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey > unauthenticated","e2e\e2e.spec.js","",""
"","5893","TC_NAV_03 - burger menu button is visible","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","5819","adding a product shows badge count of 1","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","11894","TC_NAV_08 - About link navigates to Sauce Labs site","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","4735","TC_USR_05 - locked_out_user cannot login and sees error","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","7580","sort by Name (A to Z) applies correctly","chromium","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","7338","checkout button is visible with items in cart","chromium","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","15557","TC_NAV_08 - About link navigates to Sauce Labs site","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","6302","sort by Price (high to low) applies correctly","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","8169","TC_E2E_10 - back home after order returns to inventory","firefox","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","9066","TC_CHK_03 - empty last name shows validation error","webkit","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","15549","removing an item from cart works","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
